주소,위도,경도,설치일
강서구 화곡로 302,37.5511543357884,126.84915600817534,2021-03-31
강서구 강서로5길 64,37.52940856632677,126.84816844746581,2021-03-31
강서구 강서로 301,37.552618404316895,126.83632295292122,2021-03-31
강서구 강서로 506,37.57096085287595,126.84178844953453,2021-03-31
 강서구 허준로 209,37.56162323085067,126.8601650816283,2021-03-31
강서구 허준로 175,37.56248934572965,126.85857406556744,2021-03-31
