,주소,주차장 종류명,운영구분명,유무료구분명,야간무료개방여부명
70,노원구 하계동 252-6,노외 주차장,시간제 + 거주자 주차장,유료,야간 미개방
71,영등포구 신길동 69-39,노외 주차장,시간제 주차장,유료,야간 미개방
72,성북구 삼선동3가 43-1,노외 주차장,시간제 주차장,유료,야간 미개방
73,종로구 내자동 67-2,노상 주차장,이륜차 전용 주차장,무료,야간 미개방
74,종로구 내자동 67-2,노상 주차장,이륜차 전용 주차장,무료,야간 미개방
75,종로구 내자동 67-2,노상 주차장,이륜차 전용 주차장,무료,야간 미개방
76,종로구 내자동 67-2,노상 주차장,이륜차 전용 주차장,무료,야간 미개방
77,종로구 내자동 67-2,노상 주차장,이륜차 전용 주차장,무료,야간 미개방
78,노원구 공릉동 629-1,노상 주차장,시간제 주차장,유료,야간 미개방
79,노원구 공릉동 629-1,노상 주차장,시간제 주차장,유료,야간 미개방
80,노원구 공릉동 629-1,노상 주차장,시간제 주차장,유료,야간 미개방
81,노원구 공릉동 629-1,노상 주차장,시간제 주차장,유료,야간 미개방
82,노원구 공릉동 629-1,노상 주차장,시간제 주차장,유료,야간 미개방
83,노원구 공릉동 629-1,노상 주차장,시간제 주차장,유료,야간 미개방
84,노원구 공릉동 629-1,노상 주차장,시간제 주차장,유료,야간 미개방
85,노원구 공릉동 629-1,노상 주차장,시간제 주차장,유료,야간 미개방
86,노원구 공릉동 629-1,노상 주차장,시간제 주차장,유료,야간 미개방
87,노원구 공릉동 629-1,노상 주차장,시간제 주차장,유료,야간 미개방
88,노원구 공릉동 629-1,노상 주차장,시간제 주차장,유료,야간 미개방
89,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
90,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
91,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
92,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
93,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
94,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
95,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
96,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
97,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
98,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
99,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
100,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
101,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
102,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
103,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
104,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
105,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
106,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
107,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
108,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
109,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
110,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
111,강서구 가양동 1485-0,노상 주차장,시간제 주차장,유료,야간 미개방
