"id";"sido";"gugun";"gubun";"Type";"year_code"
1176;"서울특별시";"은평구";2;"신호";10
1177;"서울특별시";"은평구";2;"신호";10
1178;"서울특별시";"은평구";2;"신호";10
1179;"서울특별시";"종로구";2;"신호";10
1180;"서울특별시";"종로구";2;"신호";10
1181;"서울특별시";"용산구";2;"신호";10
1182;"서울특별시";"용산구";2;"신호";10
1183;"서울특별시";"용산구";2;"신호";10
1184;"서울특별시";"용산구";2;"신호";10
1185;"서울특별시";"용산구";2;"신호";10
1186;"서울특별시";"용산구";2;"신호";10
1187;"서울특별시";"중구";2;"신호";10
1188;"서울특별시";"서초구";2;"신호";10
1189;"서울특별시";"서초구";2;"신호";10
1190;"서울특별시";"서초구";2;"신호";10
1191;"서울특별시";"서초구";2;"신호";10
1192;"서울특별시";"서초구";2;"신호";10
1193;"서울특별시";"영등포구";2;"신호";10
1194;"서울특별시";"종로구";1;"과속";13
1195;"서울특별시";"광진구";1;"과속";13
1196;"서울특별시";"금천구";1;"과속";13
1197;"서울특별시";"종로구";1;"과속";13
1198;"서울특별시";"영등포구";1;"과속";13
1199;"서울특별시";"은평구";2;"신호";13
1200;"서울특별시";"동대문구";2;"신호";13
1201;"서울특별시";"영등포구";2;"신호";13
1202;"서울특별시";"서대문구";2;"신호";13
1203;"서울특별시";"양천구";2;"신호";13
1204;"서울특별시";"영등포구";2;"신호";13
1205;"서울특별시";"금천구";2;"신호";13
1206;"서울특별시";"서대문구";2;"신호";13
1207;"서울특별시";"용산구";2;"신호";13
1208;"서울특별시";"중구";2;"신호";13
1209;"서울특별시";"성북구";2;"신호";13
1210;"서울특별시";"은평구";2;"신호";13
1211;"서울특별시";"서초구";2;"신호";14
1212;"서울특별시";"서초구";2;"신호";14
1213;"서울특별시";"서초구";2;"신호";14
1214;"서울특별시";"서초구";2;"신호";14
1215;"서울특별시";"광진구";2;"신호";14
1216;"서울특별시";"성북구";2;"신호";14
1217;"서울특별시";"구로구";2;"신호";14
1218;"서울특별시";"서초구";2;"신호";12
1219;"서울특별시";"서초구";2;"신호";12
1220;"서울특별시";"강남구";1;"과속";12
1221;"서울특별시";"강남구";2;"신호";12
1222;"서울특별시";"강남구";2;"신호";12
1223;"서울특별시";"은평구";2;"신호";12
1224;"서울특별시";"강남구";2;"신호";13
1225;"서울특별시";"중랑구";2;"신호";13
1226;"서울특별시";"강북구";2;"신호";13
1227;"서울특별시";"용산구";2;"신호";13
1228;"서울특별시";"금천구";2;"신호";13
1229;"서울특별시";"동대문구";2;"신호";13
1230;"서울특별시";"강서구";2;"신호";13
1231;"서울특별시";"동작구";2;"신호";13
1232;"서울특별시";"도봉구";1;"과속";13
1233;"서울특별시";"은평구";2;"신호";13
1234;"서울특별시";"성동구";1;"과속";13
1235;"서울특별시";"중구";2;"신호";13
1236;"서울특별시";"동대문구";2;"신호";13
1237;"서울특별시";"성동구";2;"신호";13
1238;"서울특별시";"강남구";2;"신호";13
1239;"서울특별시";"서초구";2;"신호";13
1240;"서울특별시";"서초구";2;"신호";13
1241;"서울특별시";"강북구";1;"과속";13
1242;"서울특별시";"동작구";1;"과속";13
1243;"서울특별시";"강남구";1;"과속";13
1244;"서울특별시";"동대문구";1;"과속";13
1245;"서울특별시";"광진구";1;"과속";13
1246;"서울특별시";"성동구";1;"과속";11
1247;"서울특별시";"성동구";1;"과속";11
1248;"서울특별시";"동대문구";1;"과속";11
1249;"서울특별시";"중랑구";1;"과속";11
1250;"서울특별시";"성북구";1;"과속";11
1251;"서울특별시";"성북구";1;"과속";11
1252;"서울특별시";"강동구";1;"과속";11
1253;"서울특별시";"서초구";2;"신호";12
1254;"서울특별시";"금천구";2;"신호";10
