"id";"sido";"gugun";"year_code"
197;"서울특별시";"성북구";6
198;"서울특별시";"노원구";17
199;"서울특별시";"성북구";10
200;"서울특별시";"서대문구";10
201;"서울특별시";"서대문구";10
202;"서울특별시";"성북구";10
203;"서울특별시";"동대문구";10
204;"서울특별시";"마포구";10
205;"서울특별시";"서대문구";10
206;"서울특별시";"서대문구";10
207;"서울특별시";"성북구";10
208;"서울특별시";"성동구";10
209;"서울특별시";"서대문구";10
210;"서울특별시";"성동구";10
211;"서울특별시";"동대문구";10
212;"서울특별시";"성북구";10
213;"서울특별시";"서대문구";10
214;"서울특별시";"마포구";10
215;"서울특별시";"동대문구";10
216;"서울특별시";"성북구";10
217;"서울특별시";"성북구";10
218;"서울특별시";"서초구";12
219;"서울특별시";"용산구";9
220;"서울특별시";"중구";9
221;"서울특별시";"용산구";9
222;"서울특별시";"노원구";18
223;"서울특별시";"마포구";10
224;"서울특별시";"마포구";9
225;"서울특별시";"강서구";16
226;"서울특별시";"서초구";14
227;"서울특별시";"노원구";18
228;"서울특별시";"송파구";18
229;"서울특별시";"성남시";17
230;"서울특별시";"서초구";14
231;"서울특별시";"성북구";15
232;"서울특별시";"중랑구";15
233;"서울특별시";"성동구";17
234;"서울특별시";"중랑구";17
235;"서울특별시";"중랑구";17
236;"서울특별시";"강남구";16
237;"서울특별시";"송파구";16
238;"서울특별시";"송파구";14
239;"서울특별시";"강동구";16
240;"서울특별시";"강서구";15
241;"서울특별시";"송파구";18
242;"서울특별시";"강동구";18
243;"서울특별시";"강동구";17
244;"서울특별시";"강동구";18
245;"서울특별시";"강동구";18
246;"서울특별시";"강서구";9
247;"서울특별시";"동작구";9
248;"서울특별시";"서초구";9
249;"서울특별시";"용산구";10
250;"서울특별시";"용산구";10
251;"서울특별시";"강남구";9
252;"서울특별시";"송파구";9
253;"서울특별시";"성북구";10
254;"서울특별시";"강서구";18
255;"서울특별시";"광진구";18
256;"서울특별시";"마포구";10
257;"서울특별시";"마포구";15
258;"서울특별시";"용산구";10
259;"서울특별시";"동작구";14
260;"서울특별시";"노원구";17
261;"서울특별시";"중랑구";18
262;"서울특별시";"노원구";6
263;"서울특별시";"성동구";6
264;"서울특별시";"성북구";17
265;"서울특별시";"성북구";17
266;"서울특별시";"서대문구";17
267;"서울특별시";"영등포구";17
268;"서울특별시";"영등포구";17
269;"서울특별시";"김포시";16
270;"서울특별시";"강서구";16
271;"서울특별시";"양천구";16
272;"서울특별시";"마포구";16
273;"서울특별시";"영등포구";16
274;"서울특별시";"영등포구";16
275;"서울특별시";"서초구";16
276;"서울특별시";"강남구";17
277;"서울특별시";"강남구";18
278;"서울특별시";"강남구";18
279;"서울특별시";"성북구";18
280;"서울특별시";"중랑구";13
281;"서울특별시";"노원구";14
282;"서울특별시";"성북구";18
283;"서울특별시";"노원구";18
284;"서울특별시";"관악구";16
285;"서울특별시";"관악구";16
286;"서울특별시";"서초구";16
287;"서울특별시";"서초구";16
288;"서울특별시";"용산구";10
289;"서울특별시";"용산구";10
290;"서울특별시";"마포구";15
