id,gugun,data_date,sido,year_code
151,광진구,2022-03-04,서울특별시,20
152,광진구,2022-03-04,서울특별시,20
153,광진구,2022-03-04,서울특별시,20
154,광진구,2022-03-04,서울특별시,20
155,광진구,2022-03-04,서울특별시,20
156,광진구,2022-03-04,서울특별시,20
157,광진구,2022-03-04,서울특별시,20
158,광진구,2022-03-04,서울특별시,20
159,광진구,2022-03-04,서울특별시,20
160,광진구,2022-03-04,서울특별시,20
161,광진구,2022-03-04,서울특별시,20
162,광진구,2022-03-04,서울특별시,20
163,광진구,2022-03-04,서울특별시,20
164,광진구,2022-03-04,서울특별시,20
165,광진구,2022-03-04,서울특별시,20
166,광진구,2022-03-04,서울특별시,20
167,광진구,2022-03-04,서울특별시,20
168,광진구,2022-03-04,서울특별시,20
169,광진구,2022-03-04,서울특별시,20
170,광진구,2022-03-04,서울특별시,20
171,광진구,2022-03-04,서울특별시,20
172,광진구,2022-03-04,서울특별시,20
173,광진구,2022-03-04,서울특별시,20
174,광진구,2022-03-04,서울특별시,20
175,광진구,2022-03-04,서울특별시,20
176,광진구,2022-03-04,서울특별시,20
177,광진구,2022-03-04,서울특별시,20
178,광진구,2022-03-04,서울특별시,20
179,광진구,2022-03-04,서울특별시,20
180,광진구,2022-03-04,서울특별시,20
181,광진구,2022-03-04,서울특별시,20
182,광진구,2022-03-04,서울특별시,20
183,광진구,2022-03-04,서울특별시,20
184,광진구,2022-03-04,서울특별시,20
185,광진구,2022-03-04,서울특별시,20
186,광진구,2022-03-04,서울특별시,20
187,광진구,2022-03-04,서울특별시,20
188,광진구,2022-03-04,서울특별시,20
189,광진구,2022-03-04,서울특별시,20
190,광진구,2022-03-04,서울특별시,20
191,광진구,2022-03-04,서울특별시,20
192,광진구,2022-03-04,서울특별시,20
193,광진구,2022-03-04,서울특별시,20
194,광진구,2022-03-04,서울특별시,20
195,광진구,2022-03-04,서울특별시,20
196,광진구,2022-03-04,서울특별시,20
197,광진구,2022-03-04,서울특별시,20
198,광진구,2022-03-04,서울특별시,20
199,광진구,2022-03-04,서울특별시,20
200,광진구,2022-03-04,서울특별시,20
201,광진구,2022-03-04,서울특별시,20
202,광진구,2022-03-04,서울특별시,20
203,광진구,2022-03-04,서울특별시,20
204,광진구,2022-03-04,서울특별시,20
205,광진구,2022-03-04,서울특별시,20
206,광진구,2022-03-04,서울특별시,20
207,광진구,2022-03-04,서울특별시,20
208,광진구,2022-03-04,서울특별시,20
209,광진구,2022-03-04,서울특별시,20
210,광진구,2022-03-04,서울특별시,20
211,광진구,2022-03-04,서울특별시,20
212,광진구,2022-03-04,서울특별시,20
213,광진구,2022-03-04,서울특별시,20
214,광진구,2022-03-04,서울특별시,20
215,광진구,2022-03-04,서울특별시,20
216,광진구,2022-03-04,서울특별시,20
217,광진구,2022-03-04,서울특별시,20
218,강서구,2021-03-19,서울특별시,20
219,강서구,2021-03-19,서울특별시,20
220,강서구,2021-03-19,서울특별시,20
221,강서구,2021-03-19,서울특별시,20
222,강서구,2021-03-19,서울특별시,20
223,강서구,2021-03-19,서울특별시,20
224,강서구,2021-03-19,서울특별시,20
225,강서구,2021-03-19,서울특별시,20
226,강서구,2021-03-19,서울특별시,20
227,강서구,2021-03-19,서울특별시,20
228,강서구,2021-03-19,서울특별시,20
229,강서구,2021-03-19,서울특별시,20
230,강서구,2021-03-19,서울특별시,20
231,강서구,2021-03-19,서울특별시,20
232,강서구,2021-03-19,서울특별시,20
233,강서구,2021-03-19,서울특별시,20
234,강서구,2021-03-19,서울특별시,20
235,강서구,2021-03-19,서울특별시,20
236,강서구,2021-03-19,서울특별시,20
237,강서구,2021-03-19,서울특별시,20
238,강서구,2021-03-19,서울특별시,20
239,강서구,2021-03-19,서울특별시,20
240,강서구,2021-03-19,서울특별시,20
241,강서구,2021-03-19,서울특별시,20
242,강서구,2021-03-19,서울특별시,20
243,강서구,2021-03-19,서울특별시,20
244,강서구,2021-03-19,서울특별시,20
245,강서구,2021-03-19,서울특별시,20
246,강서구,2021-03-19,서울특별시,20
247,강서구,2021-03-19,서울특별시,20
248,강서구,2021-03-19,서울특별시,20
249,강서구,2021-03-19,서울특별시,20
250,강서구,2021-03-19,서울특별시,20
251,강서구,2021-03-19,서울특별시,20
252,강서구,2021-03-19,서울특별시,20
253,강서구,2021-03-19,서울특별시,20
254,강서구,2021-03-19,서울특별시,20
255,강서구,2021-03-19,서울특별시,20
256,강서구,2021-03-19,서울특별시,20
257,강서구,2021-03-19,서울특별시,20
258,강서구,2021-03-19,서울특별시,20
259,강서구,2021-03-19,서울특별시,20
260,광진구,2022-03-04,서울특별시,20
261,광진구,2022-03-04,서울특별시,20
262,광진구,2022-03-04,서울특별시,20
263,광진구,2022-03-04,서울특별시,20
264,광진구,2022-03-04,서울특별시,20
265,광진구,2022-03-04,서울특별시,20
266,광진구,2022-03-04,서울특별시,20
267,광진구,2022-03-04,서울특별시,20
268,광진구,2022-03-04,서울특별시,20
269,강서구,2021-03-19,서울특별시,20
270,강서구,2021-03-19,서울특별시,20
271,강서구,2021-03-19,서울특별시,20
272,강서구,2021-03-19,서울특별시,20
273,강서구,2021-03-19,서울특별시,20
274,강서구,2021-03-19,서울특별시,20
275,강서구,2021-03-19,서울특별시,20
276,강서구,2021-03-19,서울특별시,20
277,강서구,2021-03-19,서울특별시,20
278,강서구,2021-03-19,서울특별시,20
279,강서구,2021-03-19,서울특별시,20
280,강서구,2021-03-19,서울특별시,20
281,강서구,2021-03-19,서울특별시,20
282,강서구,2021-03-19,서울특별시,20
283,강서구,2021-03-19,서울특별시,20
284,강서구,2021-03-19,서울특별시,20
