id,year_code,gugun,household,인구 합계,male,female,sumKor,korM,korF,sumFor,forM,forF,HousePerPerson,over65
69,19,구로구,176568,439371,219602,219769,406664,200987,205677,32707,18615,14092,2.3,65779
70,19,금천구,110622,251820,128954,122866,232810,118209,114601,19010,10745,8265,2.1,37660
71,19,영등포구,174806,400986,200986,200000,367678,182438,185240,33308,18548,14760,2.1,57872
72,19,동작구,180753,408912,197706,211206,395963,191976,203987,12949,5730,7219,2.19,62226
73,19,관악구,268559,517334,259194,258140,500094,251009,249085,17240,8185,9055,1.86,75194
74,19,서초구,173199,435107,208181,226926,430826,206039,224787,4281,2142,2139,2.49,57136
75,19,강남구,232981,550209,263345,286864,545169,260806,284363,5040,2539,2501,2.34,71025
76,19,송파구,278711,682741,330412,352329,675961,327164,348797,6780,3248,3532,2.43,87334
77,19,강동구,183390,440390,217338,223052,436067,215335,220732,4323,2003,2320,2.38,63452
78,20,합계,4417954,9911088,4816522,5094566,9668465,4701723,4966742,242623,114799,127824,2.19,1568331
79,20,종로구,75003,158996,76876,82120,149384,72635,76749,9612,4241,5371,1.99,28507
80,20,중구,63686,134635,65776,68859,125240,61222,64018,9395,4554,4841,1.97,24495
81,20,용산구,113093,244645,118835,125810,230040,110722,119318,14605,8113,6492,2.03,40247
82,20,성동구,135870,300505,146424,154081,293556,143387,150169,6949,3037,3912,2.16,45603
83,20,광진구,167427,360109,173000,187109,346682,167310,179372,13427,5690,7737,2.07,50560
84,20,동대문구,167598,357014,175322,181692,342837,169769,173068,14177,5553,8624,2.05,61796
85,20,중랑구,185920,399562,197118,202444,394702,195165,199537,4860,1953,2907,2.12,69447
86,20,성북구,195396,447056,214658,232398,437153,210810,226343,9903,3848,6055,2.24,73770
87,20,강북구,145896,311569,151466,160103,308055,150143,157912,3514,1323,2191,2.11,63422
88,20,도봉구,139114,327361,159420,167941,325257,158620,166637,2104,800,1304,2.34,62059
89,20,노원구,218270,527032,254188,272844,523037,252383,270654,3995,1805,2190,2.4,85489
90,20,은평구,213914,484043,231998,252045,479835,230279,249556,4208,1719,2489,2.24,85187
91,20,서대문구,144838,322952,153152,169800,312173,149360,162813,10779,3792,6987,2.16,54204
92,20,마포구,178482,381858,178977,202881,371890,175150,196740,9968,3827,6141,2.08,54331
93,20,양천구,180633,457781,224379,233402,454251,222824,231427,3530,1555,1975,2.51,65670
94,20,강서구,266982,585901,282686,303215,580185,280034,300151,5716,2652,3064,2.17,88984
95,20,구로구,180531,432488,215424,217064,404408,199673,204735,28080,15751,12329,2.24,70198
96,20,금천구,114715,247835,126141,121694,231733,117226,114507,16102,8915,7187,2.02,39842
97,20,영등포구,184714,407367,202969,204398,379480,187647,191833,27887,15322,12565,2.05,61688
98,20,동작구,184229,401572,193718,207854,391220,189152,202068,10352,4566,5786,2.12,65190
99,20,관악구,274811,509803,255211,254592,495060,248339,246721,14743,6872,7871,1.8,78875
100,20,서초구,173502,429025,205282,223743,425126,203359,221767,3899,1923,1976,2.45,60169
101,20,강남구,234872,544055,260378,283677,539231,257999,281232,4824,2379,2445,2.3,75096
102,20,송파구,281959,673926,325080,348846,667960,322299,345661,5966,2781,3185,2.37,93483
103,20,강동구,196499,463998,228044,235954,459970,226216,233754,4028,1828,2200,2.34,70019
