가변전광표지판명,시도명,시군구명,시군구코드,도로종류,도로노선명,도로노선번호,도로노선방향,위도,경도,영상표시면가로길이,영상표시면세로길이,전광판함체가로길이,전광판함체세로길이,전광판높이,설치유형코드,출력방향코드,발광패널유형코드,표출색상,표시유형코드,출력크기,설치연도
VMA9000040,서울특별시,성북구,11290,3,종암로,,,37.59366,127.03631,6000,1800,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,3단 10열,2017
VMA9000080,서울특별시,성북구,11290,3,정릉로,,,37.60443,127.01213,6000,1200,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,2단 10열,2017
VMA9000120,서울특별시,서대문구,11410,3,수색로,,,37.57309,126.90713,6000,1200,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,2단 10열,2017
VMN1000010,서울특별시,영등포구,11560,3,노들로,,,37.54094,126.89621,6000,1800,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,3단 10열,2017
VMN5000010,서울특별시,영등포구,11560,3,노들로,,,37.54169,126.89484,6000,1800,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,3단 10열,2017
VMO9000010,서울특별시,김포시,41570,3,벌말로,,,37.58456,126.78408,6000,1800,,,,3,2,1,적색+녹색+황색+흰색,2,3단 10열,2016
VMO9000050,서울특별시,강서구,11500,3,화곡로,,,37.54925,126.8476,6000,1800,,,,3,2,1,적색+녹색+황색+흰색,2,3단 10열,2016
VMO9000070,서울특별시,양천구,11470,3,안양천로,,,37.54047,126.88518,6000,1800,,,,3,2,1,적색+녹색+황색+흰색,2,3단 10열,2016
VMO9000090,서울특별시,마포구,11440,3,신촌로,,,37.55023,126.93213,6000,1800,,,,3,2,1,적색+녹색+황색+흰색,2,3단 10열,2016
VMO9000110,서울특별시,영등포구,11560,3,여의대로,,,37.52627,126.92585,6000,1800,,,,3,2,1,적색+녹색+황색+흰색,2,3단 10열,2016
VMO9000130,서울특별시,영등포구,11560,3,여의동로,,,37.51761,126.93662,6000,1800,,,,3,2,1,적색+녹색+황색+흰색,2,3단 10열,2016
VMO9000150,서울특별시,서초구,11650,3,방배로,,,37.49497,126.98916,6000,1800,,,,3,2,1,적색+녹색+황색+흰색,2,3단 10열,2016
VMO9000310,서울특별시,강남구,11680,3,영동대로,,,37.52179,127.05613,6000,1800,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,3단 10열,2017
VMO9000320,서울특별시,강남구,11680,3,테헤란로,,,37.50931,127.06526,6000,1800,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,3단 10열,2018
VMA9000470,서울특별시,강남구,11680,3,언주로,,,37.52249,127.03361,6000,1200,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,2단 10열,2018
VMA9000480,서울특별시,성북구,11290,3,화랑로,,,37.60303,127.0428,6000,1200,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,2단 10열,2018
VMB1000010,서울특별시,중랑구,11260,3,북부간선,,,37.61537,127.10449,3840,3840,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,16단 16열,2013
VMHH100200,서울특별시,노원구,11350,3,화랑로,,,37.639591,127.109483,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,2014
VMA9000510,서울특별시,성북구,11290,3,화랑로,,,37.61901,127.07932,6000,1200,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,2단 10열,2018
VMA9000530,서울특별시,노원구,11350,3,노원로,,,37.6294,127.0841,6000,1200,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,2단 10열,2018
VMQ1000030,서울특별시,관악구,11620,3,강남순환로,,,37.46879,126.94727,7800,1800,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,3단 13열,2016
VMQ5000020,서울특별시,관악구,11620,3,강남순환로,,,37.46909,126.94824,7800,1800,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,3단 13열,2016
VMQ5000030,서울특별시,서초구,11650,3,강남순환로,,,37.47011,126.98669,7800,1800,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,3단 13열,2016
VMQ1000020,서울특별시,서초구,11650,3,강남순환로,,,37.47042,126.98642,7800,1800,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,3단 13열,2016
VMK5000020,서울특별시,용산구,11170,3,강변북로,,,37.53116,126.94977,9000,1800,,,,2,2,1,적색+녹색+황색+흰색,2,3단 15열,2010
VMK5000030,서울특별시,용산구,11170,3,강변북로,,,37.51713,126.97318,6000,1800,,,,3,2,1,적색+녹색+황색+흰색,2,3단 10열,2010
VMK5000120,서울특별시,마포구,11440,3,강변북로,,,37.56133,126.88893,2880,1680,,,,3,2,1,적색+녹색+황색+흰색,2,7단 12열,2015
VMA9000710,서울특별시,노원구,11350,3,월계로,,,37.6265,127.05343,6000,1800,,,,3,2,1,적색+녹색+황색+흰색,2,3단 10열,2017
VMA9000770,서울특별시,동대문구,11230,3,망우로,,,37.58967,127.06123,6000,1800,,,,3,2,1,적색+녹색+황색+흰색,2,3단 10열,2017
VMA9000780,서울특별시,광진구,11215,3,동일로,,,37.5624,127.07537,6000,1800,,,,3,2,1,적색+녹색+황색+흰색,2,3단 10열,2018
VMA9000790,서울특별시,광진구,11215,3,천호대로,,,37.55766,127.07857,6000,1800,,,,3,2,1,적색+녹색+황색+흰색,2,3단 10열,2017
VMA9000800,서울특별시,광진구,11215,3,동일로,,,37.55325,127.07043,6000,1800,,,,3,2,1,적색+녹색+황색+흰색,2,3단 10열,2017
VMA9000840,서울특별시,강남구,11680,3,밤고개로,,,37.48824,127.10071,6000,1800,,,,3,2,1,적색+녹색+황색+흰색,2,3단 10열,2017
VMD1000060,서울특별시,성북구,11290,3,동부간선로,,,37.60534,127.071,9000,1800,,,,2,2,1,적색+녹색+황색+흰색,2,3단 15열,2017
VMA9000060,서울특별시,강북구,11305,3,월계로,,,37.61636,127.04065,3360,2400,,,,3,2,1,적색+녹색+황색+흰색,2,10단 14열,2010
VMA9000100,서울특별시,서대문구,11410,3,연희로,,,37.58338,126.93615,6000,1200,,,,3,2,1,적색+녹색+황색+흰색,2,2단 10열,2016
VMA9000140,서울특별시,서대문구,11410,3,성산로,,,37.56182,126.93237,6000,1800,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,3단 10열,2017
VMA9000180,서울특별시,양천구,11470,3,공항대로,,,37.54705,126.87192,6000,1800,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,3단 10열,2017
VMA9000210,서울특별시,영등포구,11560,3,경인로,,,37.51543,126.9043,6000,1200,,,,3,2,1,적색+녹색+황색+흰색,2,2단 10열,2016
