id,sido,gugun,year_code
208,서울특별시,관악구,14.0
209,서울특별시,관악구,14.0
210,서울특별시,관악구,14.0
211,서울특별시,관악구,14.0
212,서울특별시,관악구,99.0
213,서울특별시,관악구,99.0
214,서울특별시,관악구,99.0
215,서울특별시,관악구,99.0
216,서울특별시,관악구,99.0
217,서울특별시,관악구,99.0
218,서울특별시,관악구,99.0
219,서울특별시,관악구,99.0
220,서울특별시,관악구,99.0
221,서울특별시,관악구,99.0
222,서울특별시,관악구,99.0
223,서울특별시,관악구,99.0
224,서울특별시,관악구,99.0
225,서울특별시,관악구,99.0
226,서울특별시,관악구,12.0
227,서울특별시,관악구,99.0
228,서울특별시,관악구,99.0
229,서울특별시,관악구,99.0
230,서울특별시,관악구,99.0
231,서울특별시,관악구,99.0
232,서울특별시,관악구,99.0
233,서울특별시,관악구,99.0
234,서울특별시,관악구,99.0
235,서울특별시,관악구,99.0
236,서울특별시,관악구,99.0
237,서울특별시,관악구,99.0
238,서울특별시,관악구,99.0
239,서울특별시,관악구,99.0
240,서울특별시,관악구,99.0
241,서울특별시,관악구,99.0
242,서울특별시,관악구,99.0
243,서울특별시,관악구,99.0
244,서울특별시,관악구,99.0
245,서울특별시,영등포구,
246,서울특별시,영등포구,
247,서울특별시,영등포구,
248,서울특별시,영등포구,
249,서울특별시,영등포구,
250,서울특별시,영등포구,
251,서울특별시,영등포구,
252,서울특별시,영등포구,
253,서울특별시,영등포구,
254,서울특별시,영등포구,
255,서울특별시,영등포구,
256,서울특별시,영등포구,
257,서울특별시,영등포구,
258,서울특별시,영등포구,
259,서울특별시,영등포구,
260,서울특별시,영등포구,
261,서울특별시,영등포구,
262,서울특별시,영등포구,
263,서울특별시,영등포구,
264,서울특별시,영등포구,
265,서울특별시,영등포구,
266,서울특별시,영등포구,
267,서울특별시,영등포구,
268,서울특별시,영등포구,
269,서울특별시,영등포구,
270,서울특별시,영등포구,
271,서울특별시,영등포구,
272,서울특별시,영등포구,
273,서울특별시,영등포구,
274,서울특별시,영등포구,
275,서울특별시,영등포구,
276,서울특별시,영등포구,
277,서울특별시,영등포구,
278,서울특별시,영등포구,
279,서울특별시,영등포구,
280,서울특별시,영등포구,
281,서울특별시,영등포구,
282,서울특별시,관악구,99.0
283,서울특별시,관악구,99.0
284,서울특별시,관악구,99.0
285,서울특별시,관악구,14.0
286,서울특별시,관악구,14.0
287,서울특별시,관악구,14.0
288,서울특별시,관악구,14.0
289,서울특별시,관악구,14.0
290,서울특별시,관악구,14.0
291,서울특별시,관악구,99.0
292,서울특별시,관악구,99.0
293,서울특별시,관악구,99.0
294,서울특별시,관악구,99.0
295,서울특별시,관악구,99.0
296,서울특별시,관악구,99.0
297,서울특별시,관악구,99.0
298,서울특별시,관악구,99.0
299,서울특별시,관악구,99.0
300,서울특별시,관악구,99.0
301,서울특별시,관악구,99.0
302,서울특별시,관악구,99.0
303,서울특별시,관악구,99.0
304,서울특별시,관악구,99.0
305,서울특별시,관악구,99.0
306,서울특별시,관악구,99.0
307,서울특별시,관악구,99.0
308,서울특별시,관악구,99.0
309,서울특별시,관악구,99.0
310,서울특별시,관악구,99.0
311,서울특별시,관악구,99.0
312,서울특별시,관악구,13.0
313,서울특별시,관악구,12.0
314,서울특별시,관악구,12.0
315,서울특별시,관악구,12.0
316,서울특별시,관악구,5.0
317,서울특별시,관악구,12.0
318,서울특별시,관악구,99.0
319,서울특별시,관악구,12.0
320,서울특별시,관악구,17.0
321,서울특별시,관악구,99.0
322,서울특별시,관악구,99.0
323,서울특별시,관악구,99.0
324,서울특별시,관악구,99.0
325,서울특별시,관악구,99.0
326,서울특별시,관악구,99.0
327,서울특별시,관악구,99.0
328,서울특별시,관악구,99.0
329,서울특별시,관악구,99.0
330,서울특별시,관악구,99.0
331,서울특별시,관악구,99.0
332,서울특별시,관악구,99.0
333,서울특별시,관악구,99.0
334,서울특별시,관악구,99.0
335,서울특별시,관악구,99.0
336,서울특별시,관악구,99.0
337,서울특별시,관악구,99.0
338,서울특별시,관악구,99.0
339,서울특별시,관악구,99.0
340,서울특별시,영등포구,
341,서울특별시,영등포구,
342,서울특별시,영등포구,
343,서울특별시,영등포구,
344,서울특별시,영등포구,
345,서울특별시,영등포구,
346,서울특별시,영등포구,
347,서울특별시,영등포구,
348,서울특별시,영등포구,
349,서울특별시,영등포구,
350,서울특별시,영등포구,
351,서울특별시,영등포구,
352,서울특별시,영등포구,
353,서울특별시,영등포구,
354,서울특별시,영등포구,
355,서울특별시,영등포구,
356,서울특별시,영등포구,
357,서울특별시,영등포구,
358,서울특별시,영등포구,
359,서울특별시,영등포구,
360,서울특별시,영등포구,
361,서울특별시,영등포구,
362,서울특별시,영등포구,
363,서울특별시,영등포구,
364,서울특별시,영등포구,
365,서울특별시,영등포구,
366,서울특별시,영등포구,
367,서울특별시,영등포구,
368,서울특별시,영등포구,
369,서울특별시,영등포구,
370,서울특별시,영등포구,
371,서울특별시,영등포구,
372,서울특별시,영등포구,
373,서울특별시,영등포구,
374,서울특별시,영등포구,
375,서울특별시,영등포구,
376,서울특별시,영등포구,
377,서울특별시,관악구,14.0
378,서울특별시,관악구,14.0
379,서울특별시,관악구,99.0
380,서울특별시,관악구,99.0
381,서울특별시,관악구,99.0
382,서울특별시,관악구,17.0
383,서울특별시,관악구,18.0
384,서울특별시,관악구,18.0
385,서울특별시,관악구,18.0
386,서울특별시,관악구,18.0
387,서울특별시,관악구,99.0
388,서울특별시,관악구,99.0
389,서울특별시,관악구,99.0
390,서울특별시,관악구,12.0
391,서울특별시,관악구,99.0
392,서울특별시,관악구,99.0
393,서울특별시,관악구,99.0
394,서울특별시,관악구,99.0
395,서울특별시,관악구,99.0
396,서울특별시,관악구,99.0
397,서울특별시,관악구,99.0
398,서울특별시,관악구,99.0
399,서울특별시,관악구,99.0
400,서울특별시,관악구,14.0
401,서울특별시,관악구,99.0
402,서울특별시,관악구,99.0
403,서울특별시,관악구,99.0
404,서울특별시,관악구,99.0
405,서울특별시,관악구,99.0
406,서울특별시,관악구,99.0
407,서울특별시,관악구,99.0
408,서울특별시,관악구,99.0
409,서울특별시,관악구,99.0
410,서울특별시,관악구,99.0
411,서울특별시,관악구,17.0
412,서울특별시,관악구,17.0
413,서울특별시,관악구,99.0
414,서울특별시,관악구,99.0
415,서울특별시,관악구,99.0
416,서울특별시,관악구,99.0
417,서울특별시,관악구,99.0
418,서울특별시,관악구,99.0
419,서울특별시,관악구,99.0
420,서울특별시,관악구,99.0
421,서울특별시,관악구,99.0
422,서울특별시,관악구,99.0
423,서울특별시,관악구,99.0
424,서울특별시,관악구,99.0
425,서울특별시,관악구,99.0
426,서울특별시,관악구,99.0
427,서울특별시,관악구,99.0
428,서울특별시,관악구,99.0
429,서울특별시,관악구,99.0
430,서울특별시,관악구,99.0
431,서울특별시,관악구,17.0
432,서울특별시,관악구,99.0
433,서울특별시,관악구,99.0
434,서울특별시,관악구,99.0
435,서울특별시,관악구,99.0
436,서울특별시,영등포구,
437,서울특별시,영등포구,
438,서울특별시,영등포구,
439,서울특별시,영등포구,
440,서울특별시,영등포구,
441,서울특별시,영등포구,
442,서울특별시,영등포구,
443,서울특별시,영등포구,
444,서울특별시,영등포구,
445,서울특별시,영등포구,
446,서울특별시,영등포구,
447,서울특별시,영등포구,
448,서울특별시,영등포구,
449,서울특별시,영등포구,
450,서울특별시,영등포구,
451,서울특별시,영등포구,
452,서울특별시,영등포구,
453,서울특별시,영등포구,
454,서울특별시,영등포구,
455,서울특별시,영등포구,
456,서울특별시,영등포구,
457,서울특별시,영등포구,
458,서울특별시,영등포구,
459,서울특별시,영등포구,
460,서울특별시,영등포구,
461,서울특별시,영등포구,
462,서울특별시,영등포구,
463,서울특별시,영등포구,
464,서울특별시,영등포구,
465,서울특별시,영등포구,
466,서울특별시,영등포구,
467,서울특별시,영등포구,
468,서울특별시,영등포구,
469,서울특별시,영등포구,
470,서울특별시,영등포구,
471,서울특별시,영등포구,
472,서울특별시,영등포구,
473,서울특별시,관악구,99.0
474,서울특별시,관악구,17.0
475,서울특별시,관악구,18.0
476,서울특별시,관악구,18.0
477,서울특별시,관악구,99.0
478,서울특별시,관악구,99.0
479,서울특별시,관악구,99.0
480,서울특별시,관악구,99.0
481,서울특별시,관악구,99.0
482,서울특별시,관악구,11.0
483,서울특별시,관악구,11.0
484,서울특별시,관악구,99.0
485,서울특별시,관악구,99.0
486,서울특별시,관악구,99.0
487,서울특별시,관악구,99.0
488,서울특별시,관악구,99.0
489,서울특별시,관악구,99.0
490,서울특별시,관악구,99.0
491,서울특별시,관악구,99.0
492,서울특별시,관악구,99.0
493,서울특별시,관악구,99.0
