id,주차장 종류명,운영구분명,유무료구분명,야간무료개방여부명,sido,gugun,address
1753,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,영등포구,대림동736-3
1754,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,영등포구,대림동736-3
1755,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,영등포구,대림동736-3
1756,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,영등포구,대림동736-3
1757,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,영등포구,대림동736-3
1758,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,영등포구,대림동736-3
1759,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,영등포구,대림동710-0
1760,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,영등포구,대림동710-0
1761,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,영등포구,대림동710-0
1762,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,성동구,성수동1가366-1
1763,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,노원구,중계동507-0
1764,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,은평구,갈현동9-112
1765,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,방화동845-0
1766,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1488-12
1767,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,고척동52-54
1768,노외 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,금천구,가산동148-28
1769,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동614-34
1770,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강남구,개포동183-2
1771,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강남구,삼성동113-26
1772,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,송파구,가락동98-1
1773,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,성북구,종암동54-182
1774,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,송파구,가락동80-2
1775,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,송파구,거여동33-16
1776,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,고척동156
1777,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,홍익동101-2
1778,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,홍익동101-2
1779,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,홍익동101-2
1780,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,홍익동101-2
1781,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,홍익동101-2
1782,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,홍익동101-2
1783,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,홍익동101-2
1784,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,홍익동101-2
1785,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,홍익동101-2
1786,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,홍익동101-2
1787,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,홍익동101-2
1788,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,홍익동101-2
1789,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,홍익동101-2
1790,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,도선동12-1
1791,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,도선동12-1
1792,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,도선동12-1
1793,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,도선동12-1
1794,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,도선동12-1
1795,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1796,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1797,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1798,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1799,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1800,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1801,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1802,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1803,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1804,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1805,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1806,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1807,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1808,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1809,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1810,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1811,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1812,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1813,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1814,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
