id,address,occur,death_injury,death,s_injury,l_injury,lot,lat,year
57,충청남도 홍성군 홍북읍(엘가프라자 부근),3,3,0,0,3,126.6745891111,36.647638342237,2017
58,전라북도 익산시 부송동(BYC마트 익산점 부근),3,3,0,2,1,126.984652641108,35.958960308173,2017
59,전라남도 광양시 중동(광양백운초교 부근),3,4,0,0,4,127.690865899243,34.937845424628,2017
60,전라남도 목포시 연산동(목포서해초교 부근),4,4,0,1,3,126.381105338442,34.810826204067,2017
61,전라남도 여수시 웅천동(버거킹여수웅천점 부근),4,4,0,0,3,127.671159878127,34.746741831671,2017
62,경상북도 구미시 상모동(상모프라자 부근),4,4,0,3,1,128.355325082688,36.087553213711,2017
63,경상북도 구미시 봉곡동(봉곡테마공원 부근),3,3,0,1,2,128.314862366106,36.151004879772,2017
64,경상북도 영천시 망정동(영천망정주공3단지아파트후문 부근),3,3,0,3,0,128.94884538251,35.972719626111,2017
65,경상남도 거제시 고현동(양정고려2차아파트 204동 부근),4,4,0,3,1,128.632031991784,34.895593114731,2017
66,경상남도 거제시 수월동(수월초교 부근),3,4,0,1,3,128.643526310492,34.890071192832,2017
67,경상남도 양산시 물금읍(제이스프라자 부근),3,4,0,1,2,129.002488391227,35.317485533532,2017
68,경상남도 진주시 하대동(대성맨션 부근),3,3,0,3,0,128.124172231964,35.188867049476,2017
69,경상남도 창원시 성산구 신촌동(양곡새마을금고 본점 부근),3,3,0,1,2,128.628956817604,35.199619378932,2017
70,경상남도 창원시 진해구 청안동(청안공원 부근),3,3,0,1,1,128.806513325431,35.103989684977,2017
71,경상남도 통영시 광도면(죽림주공아파트정문 부근),3,3,0,1,2,128.415175477467,34.87878940281,2017
72,경상남도 함양군 함양읍(동문사거리 부근),3,4,0,1,2,127.727459494061,35.520257173531,2017
73,제주특별자치도 제주시 연동(신제주초교 부근),3,3,0,1,2,126.497468274442,33.483568125969,2017
74,제주특별자치도 제주시 이도이동(남광경로당 부근),3,3,0,1,2,126.538518077448,33.492361568333,2017
75,제주특별자치도 제주시 조천읍(카페베네 함덕해수욕장점 부근),3,3,0,0,2,126.669864290706,33.542481759027,2017
76,서울특별시 강남구 도곡동(언주초교 부근),3,3,0,1,2,127.037893303934,37.486708581137,2018
77,서울특별시 강남구 역삼동(상지리츠빌1차 부근),3,4,0,0,4,127.045975123554,37.496469538439,2018
78,서울특별시 강북구 미아동(삼양시장오거리 부근),4,5,0,1,4,127.018489231994,37.625361789616,2018
79,서울특별시 노원구 상계동(홍파복지원앞사거리 부근),3,4,0,1,2,127.055620345304,37.680089771926,2018
80,서울특별시 노원구 중계동(중계그린아파트107동 부근),3,3,0,0,1,127.064001859499,37.642807276635,2018
81,서울특별시 서대문구 북가좌동(북가좌초교사거리 부근),3,3,0,1,2,126.909592837241,37.578056686468,2018
82,서울특별시 서초구 우면동(서초네이처힐 3단지 314동 부근),3,3,0,1,2,127.026947684989,37.462779155734,2018
83,서울특별시 서초구 방배동(방배초교입구사거리 부근),3,3,0,0,3,126.98613533358,37.486992605925,2018
84,서울특별시 송파구 방이동(방이초교 부근),4,4,0,1,2,127.120659888544,37.512218815047,2018
85,서울특별시 송파구 송파동(중대초교 부근),3,3,0,1,2,127.114239825409,37.5009626593,2018
