id,address,occur,death_injury,death,s_injury,l_injury,lot,lat,year
57,서울특별시 동대문구 제기동(영양물산 부근),4,4,0,4,0,127.037555508681,37.582803960236,2017
58,서울특별시 동대문구 휘경동(삼성디지털프라자휘경점 부근),3,3,1,2,0,127.065402412392,37.591000576516,2017
59,서울특별시 동대문구 휘경동(외대앞역교차로 부근),3,4,0,3,1,127.064663198449,37.594503992566,2017
60,서울특별시 동작구 상도동(상도3동주민센터 부근),8,8,0,3,5,126.931476814005,37.499504497635,2017
61,서울특별시 동작구 대방동(신대방삼거리역교차로 부근),6,6,0,2,3,126.927932476104,37.498884886329,2017
62,서울특별시 동작구 흑석동(이마트에브리데이흑석동점 부근),4,4,1,3,0,126.960855789264,37.507364318709,2017
63,서울특별시 동작구 노량진동(이마트24동작삼익점 부근),4,4,0,2,2,126.944600894017,37.510643452834,2017
64,서울특별시 동작구 대방동(롯데하이마트대방점 부근),3,5,0,2,3,126.922577340673,37.505373087499,2017
65,서울특별시 동작구 사당동(이수역사거리 부근),3,3,0,1,2,126.98276719715,37.485615735779,2017
66,서울특별시 동작구 사당동(동작대로1길 부근),3,3,0,0,2,126.981153725265,37.477143953931,2017
67,서울특별시 동작구 사당동(밝은서울정신건강의학과의원 부근),2,2,1,0,1,126.982236624122,37.482703893771,2017
68,서울특별시 마포구 성산동(가좌삼거리 부근),5,5,1,2,1,126.914166296339,37.56962487319,2017
69,서울특별시 마포구 서교동(서교동사거리 부근),5,5,1,1,3,126.918148262333,37.552672234437,2017
70,서울특별시 마포구 망원동(한강공원입구교차로 부근),5,5,0,3,2,126.899125128823,37.555911935988,2017
71,서울특별시 마포구 망원동(LG베스트샵월드컵점 부근),4,4,0,4,0,126.904739761832,37.561845127751,2017
72,서울특별시 서대문구 북가좌동(북가좌사거리 부근),5,5,0,3,2,126.912470309858,37.581681859931,2017
73,서울특별시 서대문구 홍은동(홍연2교교차로 부근),4,4,0,3,1,126.930109987487,37.578581153099,2017
74,서울특별시 서대문구 홍제동(홍제역 부근),4,4,0,2,1,126.94456648056,37.588764817843,2017
75,서울특별시 서대문구 홍제동(홍제삼거리 부근),3,5,0,2,3,126.946974077193,37.586124485657,2017
76,서울특별시 서대문구 홍제동(홍제교 부근),3,3,0,2,1,126.944461121385,37.591970846079,2017
77,서울특별시 서대문구 홍은동(홍은파출소 부근),3,4,0,2,0,126.946227806269,37.595125393523,2017
78,서울특별시 서대문구 홍제동(7호포차 부근),2,2,1,1,0,126.937405895867,37.588902610168,2017
79,서울특별시 서초구 잠원동(신사역5번출구 부근),5,6,1,3,0,127.019166375629,37.515964044406,2017
80,서울특별시 서초구 방배동(방배역 부근),3,3,0,1,1,126.997158963317,37.481954308845,2017
81,서울특별시 성동구 행당동(왕십리역11번출구~홈플러스익스프레스왕십리점),5,5,0,1,3,127.033996661118,37.562117923604,2017
82,서울특별시 성동구 사근동(한양대후문약국 부근),4,5,0,2,3,127.04198180182,37.559499487213,2017
83,서울특별시 성동구 행당동(행당과선교 부근),2,2,1,1,0,127.039394505353,37.558100934412,2017
84,서울특별시 성북구 동소문동5가(빽다방성신여대입구역점 부근),9,9,0,3,5,127.016584973319,37.592733133029,2017
85,서울특별시 성북구 하월곡동(성북트리즘빌딩사거리 부근),8,9,1,3,5,127.038159407032,37.602448656581,2017
86,서울특별시 성북구 동선동2가(바람마당교 부근),7,7,1,2,4,127.017318757156,37.589374872953,2017
87,서울특별시 성북구 길음동(박찬유치과의원 부근),5,5,0,3,2,127.023690514107,37.603458339831,2017
88,서울특별시 성북구 장위동(성심가정의학과의원 부근),5,5,0,2,3,127.049007865022,37.613346385728,2017
89,서울특별시 성북구 장위동(KEB하나은행장위동지점 부근),4,4,1,1,2,127.050726974871,37.615750512777,2017
90,서울특별시 성북구 장위동(나약국 부근),4,4,0,3,1,127.043050065109,37.614147161863,2017
91,서울특별시 성북구 정릉동(도미노피자정릉점 부근),3,3,1,2,0,127.010398638587,37.607360838133,2017
92,서울특별시 성북구 길음동(삼양로10길 부근),3,3,1,1,1,127.023521684379,37.608613336537,2017
93,서울특별시 성북구 종암동(사대부고앞 부근),3,3,1,1,1,127.036293222955,37.593353239861,2017
94,서울특별시 성북구 정릉동(정릉4동주민센터사거리 부근),3,3,0,3,0,127.007474062179,37.612747702545,2017
95,서울특별시 성북구 석관동(돌곶이역 부근),3,3,0,0,3,127.057176855029,37.610974398651,2017
96,서울특별시 송파구 삼전동(시온정비센터 부근),5,5,0,5,0,127.085902845141,37.501952490916,2017
97,서울특별시 송파구 마천동(착한깡통 부근),5,5,0,2,1,127.150603132629,37.497228776688,2017
98,서울특별시 송파구 문정동(가락시장역3호선 부근),4,4,0,3,1,127.116129596904,37.491858298822,2017
99,서울특별시 송파구 석촌동(석촌역 부근),3,3,2,0,1,127.106107820021,37.506508108363,2017
100,서울특별시 송파구 방이동(포레스트요양병원 부근),3,3,0,2,1,127.11384713284,37.511834223571,2017
101,서울특별시 송파구 신천(잠실역8호선 부근),3,5,0,1,4,127.103103730954,37.514455180763,2017
102,서울특별시 양천구 목동(다이소등촌시장점 부근),6,6,0,2,3,126.865348183673,37.548582380373,2017
103,서울특별시 양천구 신월동(으뜸공원 부근),4,4,0,4,0,126.83039775995,37.53639677799,2017
104,서울특별시 양천구 신월동(양천경찰서 부근),3,4,0,2,2,126.865489971686,37.516960030982,2017
105,서울특별시 양천구 신정동(홍익병원 부근),3,3,0,1,1,126.863907772827,37.52875975406,2017
106,서울특별시 영등포구 영등포동3가(영등포시장앞 부근),8,9,1,7,1,126.905016141483,37.519944191972,2017
107,서울특별시 영등포구 신길동(우신초교앞 부근),4,4,1,2,1,126.910466502528,37.50977806041,2017
108,서울특별시 영등포구 당산동1가(영등포유통상가교차로 부근),3,5,0,2,3,126.895607507981,37.520820379858,2017
109,서울특별시 영등포구 대림동(살레시오청소년센터 부근),3,3,0,2,1,126.905195150637,37.49442552332,2017
110,서울특별시 영등포구 신길동(신길삼거리 부근),3,4,0,2,0,126.919255592173,37.514377094428,2017
111,서울특별시 영등포구 문래동3가(모드니주유소 부근),2,2,1,1,0,126.900632029246,37.514480752086,2017
112,서울특별시 용산구 이태원동(대성옵티마약국 부근),4,4,0,2,2,126.989132827019,37.539340835512,2017
113,서울특별시 용산구 한남동(라멘81번옥 부근),3,3,1,1,1,127.006841497938,37.530019423658,2017
114,서울특별시 용산구 용문동(파리바게트원효로점 부근),3,3,0,2,1,126.961528290599,37.535806480985,2017
115,서울특별시 용산구 보광동(IBK기업은행보광동점 부근),3,3,0,2,1,126.999351851308,37.527905784825,2017
116,서울특별시 용산구 남영동(숙대입구역3번출구 부근),3,3,0,2,1,126.971903077466,37.545107009682,2017
117,서울특별시 은평구 응암동(응암오거리 부근),6,6,1,4,1,126.91699120628,37.590160450545,2017
118,서울특별시 은평구 신사동(와산교교차로 부근),5,5,0,3,2,126.912565415862,37.588841047078,2017
119,서울특별시 은평구 불광동(연신내역 부근),4,7,0,2,5,126.921109443847,37.619208244166,2017
120,서울특별시 은평구 역촌동(역말사거리 부근),3,3,1,0,2,126.915591576991,37.604860015079,2017
121,서울특별시 은평구 응암동(드림캐시아주상복합 부근),3,5,0,2,3,126.920935061705,37.598648900427,2017
122,서울특별시 은평구 대조동(대조불광시장교차로 부근),3,3,0,2,1,126.926634262462,37.608870119062,2017
123,서울특별시 은평구 불광동(불광지구대 부근),3,3,0,1,2,126.925657730921,37.621152101789,2017
124,서울특별시 종로구 종로2가(탑골공원 부근),6,9,0,3,6,126.988250700011,37.570389986709,2017
125,서울특별시 종로구 숭인동(동묘앞역 부근),4,4,1,2,0,127.017441147692,37.573594305334,2017
126,서울특별시 종로구 창신동(청계7가사거리 부근),4,6,0,4,1,127.015868362936,37.569709445436,2017
